scheme_id,scheme_name,scheme_name_hindi,type,launch_year,benefit,benefit_hindi,eligibility,eligibility_hindi,description_english,description_hindi,documents_required,apply_link
11,Baliraja Chetana Abhiyan,बलिराजा चेतना अभियान,State (Maharashtra),2015,"Financial aid of ₹10,000 per hectare (max 2 hectares) for crop damage","फसल नुकसान के लिए ₹10,000 प्रति हेक्टेयर (अधिकतम 2 हेक्टेयर) वित्तीय सहायता",Farmers affected by unseasonal rains/hailstorms,असमय वर्षा/ओलावृष्टि से प्रभावित किसान,Provides immediate relief to farmers affected by natural calamities. Compensation is credited directly to bank accounts within 15 days of application.,प्राकृतिक आपदाओं से प्रभावित किसानों को तत्काल राहत प्रदान करता है। मुआवजा आवेदन के 15 दिनों के भीतर सीधे बैंक खातों में जमा किया जाता है।,Aadhaar-linked bank account|7/12 land extract|Damage assessment report|Panchnama copy,https://relief.maharashtra.gov.in
12,Maharashtra Organic Farming Scheme,महाराष्ट्र जैविक खेती योजना,State (Maharashtra),2018,"₹10,000 per acre for 3 years as organic farming incentive","जैविक खेती प्रोत्साहन के रूप में 3 वर्षों तक ₹10,000 प्रति एकड़",Farmers willing to practice organic farming for minimum 3 years,न्यूनतम 3 वर्ष तक जैविक खेती करने को तैयार किसान,Promotes chemical-free farming through financial incentives and training. Includes certification support and market linkage for organic produce.,वित्तीय प्रोत्साहन और प्रशिक्षण के माध्यम से रसायन-मुक्त खेती को बढ़ावा देता है। जैविक उत्पादों के लिए प्रमाणीकरण सहायता और बाजार संपर्क शामिल है।,Land records|Aadhaar card|Bank details|Organic farming plan,https://mahadbt.maharashtra.gov.in
13,Farm Pond Scheme,फार्म पॉण्ड योजना,State (Maharashtra),2017,"50-75% subsidy for constructing farm ponds (max ₹50,000 per pond)","फार्म पॉण्ड निर्माण पर 50-75% सब्सिडी (अधिकतम ₹50,000 प्रति पॉण्ड)",Farmers with minimum 1 acre land in rainfed areas,वर्षा आधारित क्षेत्रों में न्यूनतम 1 एकड़ जमीन वाले किसान,Encourages rainwater harvesting at farm level to ensure water availability during dry spells. Helps in groundwater recharge and drought mitigation.,सूखे के दौरान पानी की उपलब्धता सुनिश्चित करने के लिए खेत स्तर पर वर्षा जल संचयन को प्रोत्साहित करता है। भूजल पुनर्भरण और सूखा निवारण में मदद करता है।,7/12 land extract|Aadhaar card|Bank passbook|Site photos,https://soil.maharashtra.gov.in
14,Chief Minister Farmer Accident Insurance Scheme,मुख्यमंत्री कृषक अपघात विमा योजना,State (Maharashtra),2020,"₹2 lakh accidental death coverage, ₹1 lakh permanent disability coverage","₹2 लाख आकस्मिक मृत्यु कवर, ₹1 लाख स्थायी विकलांगता कवर",All farmers aged 18-70 years,18-70 वर्ष की आयु के सभी किसान,Provides accidental insurance coverage to farmers at nominal premium. Premium fully paid by state government. Covers farming-related accidents.,किसानों को नाममात्र प्रीमियम पर आकस्मिक बीमा कवर प्रदान करता है। प्रीमियम राज्य सरकार द्वारा पूर्णतः वहन किया जाता है। कृषि संबंधी दुर्घटनाओं को कवर करता है।,Aadhaar card|Land records|Bank account details,https://www.mahagramin.in
15,Maharashtra Bee Keeping Scheme,महाराष्ट्र मधुमक्खी पालन योजना,State (Maharashtra),2016,50% subsidy on bee boxes (max 100 boxes per beneficiary),मधुमक्खी बक्सों पर 50% सब्सिडी (प्रति लाभार्थी अधिकतम 100 बक्से),Farmers with minimum 1 acre land or tribal families,न्यूनतम 1 एकड़ जमीन वाले किसान या आदिवासी परिवार,Promotes apiculture as supplementary income source. Provides training and equipment support to enhance honey production and pollination services.,सहायक आय स्रोत के रूप में मधुमक्खी पालन को बढ़ावा देता है। शहद उत्पादन और परागण सेवाओं को बढ़ाने के लिए प्रशिक्षण और उपकरण सहायता प्रदान करता है।,Land records|Aadhaar card|Bank details|Tribal certificate (if applicable),https://mahadbt.maharashtra.gov.in
16,Chief Minister Agri Clinic and Agri Business Scheme,मुख्यमंत्री कृषि क्लिनिक एवं कृषि व्यवसाय योजना,State (Maharashtra),2019,35% subsidy on project cost (max ₹10 lakh) for agri-entrepreneurs,कृषि उद्यमियों के लिए परियोजना लागत पर 35% सब्सिडी (अधिकतम ₹10 लाख),Agriculture graduates/diploma holders or experienced farmers,कृषि स्नातक/डिप्लोमा धारक या अनुभवी किसान,"Encourages educated youth to start agri-service centers providing soil testing, equipment rental, consultancy etc. Includes training and mentorship.","शिक्षित युवाओं को मृदा परीक्षण, उपकरण किराया, परामर्श आदि प्रदान करने वाले कृषि सेवा केंद्र शुरू करने के लिए प्रोत्साहित करता है। प्रशिक्षण और परामर्श शामिल है।",Educational certificates|Business plan|Aadhaar card|Bank details,https://agri.maharashtra.gov.in
17,Maharashtra Bamboo Mission,महाराष्ट्र बांस मिशन,State (Maharashtra),2020,"80% subsidy for bamboo cultivation (max ₹40,000 per hectare)","बांस की खेती के लिए 80% सब्सिडी (अधिकतम ₹40,000 प्रति हेक्टेयर)",Farmers with suitable land in designated bamboo clusters,निर्दिष्ट बांस क्लस्टरों में उपयुक्त भूमि वाले किसान,"Promotes commercial bamboo cultivation and value addition. Includes free saplings, training and market linkage for sustainable income.","वाणिज्यिक बांस खेती और मूल्य संवर्धन को बढ़ावा देता है। सतत आय के लिए निःशुल्क पौध, प्रशिक्षण और बाजार संपर्क शामिल है।",Land records|Aadhaar card|Soil suitability report|Bank details,https://mahabamboo.maharashtra.gov.in
18,Maharashtra Farmer Producer Company Promotion Scheme,महाराष्ट्र किसान उत्पादक कंपनी प्रोत्साहन योजना,State (Maharashtra),2018,"₹5 lakh grant for FPO formation plus ₹10,000 per member as share capital","एफपीओ गठन के लिए ₹5 लाख अनुदान साथ ही शेयर पूंजी के रूप में प्रति सदस्य ₹10,000",Groups of minimum 50 farmers willing to form FPC,एफपीसी बनाने को तैयार न्यूनतम 50 किसानों के समूह,"Encourages collective farming and marketing through Farmer Producer Companies. Provides legal, financial and technical support for FPO formation.","किसान उत्पादक कंपनियों के माध्यम से सामूहिक खेती और विपणन को प्रोत्साहित करता है। एफपीओ गठन के लिए कानूनी, वित्तीय और तकनीकी सहायता प्रदान करता है।",Member list with Aadhaar details|Land records of members|Bank details|Proposed business plan,https://sfac.maharashtra.gov.in
19,Maharashtra Crop Insurance Scheme,महाराष्ट्र फसल बीमा योजना,State (Maharashtra),2015,Crop insurance coverage against natural calamities,प्राकृतिक आपदाओं के खिलाफ फसल बीमा सुरक्षा,All farmers growing insured crops in Maharashtra,महाराष्ट्र में बीमित फसलें उगाने वाले सभी किसान,"Provides financial protection to farmers against crop losses due to drought, flood, pests, and diseases.","सूखा, बाढ़, कीट और रोगों के कारण फसल नुकसान से किसानों को वित्तीय सुरक्षा प्रदान करता है।",Aadhaar Card|Crop details|Land records,https://maharashtracropinsurance.gov.in
20,Bhavantar Bhugtan Yojana,भावांतर भुगतान योजना,State (Madhya Pradesh),2017,Compensation for price difference between MSP and market price,एमएसपी और बाजार मूल्य के बीच के अंतर के लिए मुआवजा,Farmers selling specified crops below MSP,निर्दिष्ट फसलें एमएसपी से कम कीमत पर बेचने वाले किसान,"This scheme compensates farmers when they sell their crops below the Minimum Support Price (MSP), ensuring they receive fair returns.","यह योजना किसानों को एमएसपी से कम कीमत पर फसल बेचने पर मुआवजा देती है, जिससे उन्हें उचित लाभ सुनिश्चित होता है।",Aadhaar Card|Land ownership documents|Bank passbook copy|Crop sale receipts,https://mpkrishi.mp.gov.in
21,Mukhyamantri Kisan Kalyan Yojana,मुख्यमंत्री किसान कल्याण योजना,State (Madhya Pradesh),2020,"₹4,000 annual financial assistance to farmers","किसानों को वार्षिक ₹4,000 की वित्तीय सहायता",All small and marginal farmers,सभी छोटे और सीमांत किसान,Provides direct financial support to farmers to supplement their income and promote agricultural activities.,किसानों की आय बढ़ाने और कृषि गतिविधियों को प्रोत्साहित करने के लिए सीधी वित्तीय सहायता प्रदान करता है।,Aadhaar Card|Land records|Bank account details,https://mpkrishi.mp.gov.in
22,Rani Durgavati Shri Anna Protsahan Yojana,रानी दुर्गावती श्री अन्न प्रोत्साहन योजना,State (Madhya Pradesh),2024,₹10 per kg incentive for coarse grains,मोटे अनाज पर ₹10 प्रति किलोग्राम प्रोत्साहन,Farmers cultivating coarse grains like millets,"मोटे अनाज जैसे बाजरा, कोदो आदि की खेती करने वाले किसान","Encourages the cultivation of coarse grains by providing financial incentives, promoting nutritional security and sustainable agriculture.",पोषण सुरक्षा और सतत कृषि को बढ़ावा देने के लिए मोटे अनाज की खेती पर वित्तीय प्रोत्साहन प्रदान करता है।,Aadhaar Card|Land ownership documents|Bank account details,https://mpkrishi.mp.gov.in
23,Pradhan Mantri Fasal Bima Yojana,प्रधानमंत्री फसल बीमा योजना,Central,2016,Crop insurance against natural calamities and pests,प्राकृतिक आपदाओं और कीटों के खिलाफ फसल बीमा,All farmers growing notified crops,सूचित फसलें उगाने वाले सभी किसान,"Offers comprehensive crop insurance to protect farmers against losses due to unforeseen events, ensuring financial stability.",अप्रत्याशित घटनाओं के कारण होने वाले नुकसान से किसानों की वित्तीय स्थिरता सुनिश्चित करने के लिए व्यापक फसल बीमा प्रदान करता है।,Aadhaar Card|Land records|Bank account details|Crop sowing details,https://pmfby.gov.in
24,Mukhyamantri Solar Pump Yojana,मुख्यमंत्री सोलर पंप योजना,State (Madhya Pradesh),2021,Subsidized solar pumps for irrigation,सिंचाई के लिए सब्सिडी वाले सोलर पंप,Farmers with agricultural land and no electricity connection,कृषि भूमि वाले और बिना बिजली कनेक्शन वाले किसान,"Provides solar-powered pumps to farmers to facilitate irrigation in areas lacking electricity, promoting sustainable farming.","बिजली की कमी वाले क्षेत्रों में सिंचाई के लिए किसानों को सौर ऊर्जा चालित पंप प्रदान करता है, जिससे सतत कृषि को बढ़ावा मिलता है।",Aadhaar Card|Land ownership documents|Bank account details,https://mpkrishi.mp.gov.in
25,Soil Health Card Scheme,मृदा स्वास्थ्य कार्ड योजना,Central,2015,Soil testing and nutrient recommendations,मिट्टी परीक्षण और पोषक तत्वों की सिफारिशें,All farmers,सभी किसान,"Provides farmers with detailed soil health reports, enabling informed decisions on fertilizer use and crop selection.","किसानों को विस्तृत मृदा स्वास्थ्य रिपोर्ट प्रदान करता है, जिससे उर्वरक उपयोग और फसल चयन पर सूचित निर्णय लेने में मदद मिलती है।",Aadhaar Card|Land records,https://soilhealth.dac.gov.in
26,Mini Sprinkler Set Subsidy Scheme,मिनी स्प्रिंकलर सेट सब्सिडी योजना,State (Madhya Pradesh),2024,Up to 60% subsidy on mini sprinkler sets,मिनी स्प्रिंकलर सेट पर 60% तक की सब्सिडी,Farmers with land suitable for sprinkler irrigation,स्प्रिंकलर सिंचाई के लिए उपयुक्त भूमि वाले किसान,"Encourages efficient water use by providing subsidies on mini sprinkler systems, enhancing irrigation practices.",मिनी स्प्रिंकलर सिस्टम पर सब्सिडी प्रदान करके सिंचाई प्रथाओं को बेहतर बनाता है और जल उपयोग की दक्षता बढ़ाता है।,Aadhaar Card|Land ownership documents|Bank account details,https://ekrishiyantra.mp.gov.in
27,Zero Interest Crop Loan Scheme,शून्य ब्याज फसल ऋण योजना,State (Madhya Pradesh),2023,Interest-free short-term crop loans,ब्याज मुक्त अल्पकालिक फसल ऋण,Small and marginal farmers,छोटे और सीमांत किसान,"Provides interest-free loans to farmers for crop cultivation, reducing financial burden and promoting timely farming activities.","किसानों को फसल की खेती के लिए ब्याज मुक्त ऋण प्रदान करता है, जिससे वित्तीय बोझ कम होता है और समय पर कृषि गतिविधियों को बढ़ावा मिलता है।",Aadhaar Card|Land records|Bank account details,https://mpkrishi.mp.gov.in
28,Organic Farming Promotion Scheme,जैविक खेती प्रोत्साहन योजना,State (Madhya Pradesh),2022,Financial support for organic farming practices,जैविक खेती प्रथाओं के लिए वित्तीय सहायता,Farmers adopting organic farming methods,जैविक खेती अपनाने वाले किसान,"Encourages sustainable agriculture by providing support to farmers transitioning to organic farming, ensuring environmental conservation.","जैविक खेती की ओर स्थानांतरित होने वाले किसानों को समर्थन प्रदान करके सतत कृषि को प्रोत्साहित करता है, जिससे पर्यावरण संरक्षण सुनिश्चित होता है।",Aadhaar Card|Land ownership documents|Bank account details,https://mpkrishi.mp.gov.in
29,Mukhyamantri Kisan Kalyan Yojana,मुख्यमंत्री किसान कल्याण योजना,State (Madhya Pradesh),2020,"₹4,000 annual financial assistance to eligible farmers","पात्र किसानों को ₹4,000 वार्षिक वित्तीय सहायता",Small and marginal farmers registered under PM-KISAN,प्रधानमंत्री किसान सम्मान निधि के तहत पंजीकृत छोटे और सीमांत किसान,"This scheme provides additional financial support of ₹4,000 per year to farmers already receiving benefits under PM-KISAN, aiming to enhance their income and support agricultural activities.","यह योजना पीएम-किसान के तहत लाभ प्राप्त कर रहे किसानों को ₹4,000 वार्षिक अतिरिक्त वित्तीय सहायता प्रदान करती है, जिससे उनकी आय बढ़े और कृषि गतिविधियों में सहायता मिले।",Aadhaar Card|Bank account details|Land ownership documents,https://mpkrishi.mp.gov.in
30,Atal Krishi Jyoti Yojana,अटल कृषि ज्योति योजना,State (Madhya Pradesh),2012,Subsidized electricity for agricultural pumps up to 10 HP,10 एचपी तक के कृषि पंपों के लिए सब्सिडी वाली बिजली,All farmers with agricultural pump connections up to 10 HP,10 एचपी तक के कृषि पंप कनेक्शन वाले सभी किसान,"Provides subsidized electricity to farmers for operating agricultural pumps, reducing irrigation costs and promoting efficient water usage.","किसानों को कृषि पंपों के संचालन के लिए सब्सिडी वाली बिजली प्रदान करता है, जिससे सिंचाई लागत कम होती है और जल का कुशल उपयोग होता है।",Aadhaar Card|Electricity connection details|Land records,https://mpkrishi.mp.gov.in
31,Pradhan Mantri Krishi Sinchai Yojana (PMKSY),प्रधानमंत्री कृषि सिंचाई योजना,Central,2015,Subsidy up to 55% on micro-irrigation systems,सूक्ष्म सिंचाई प्रणालियों पर 55% तक की सब्सिडी,All farmers implementing micro-irrigation systems,सूक्ष्म सिंचाई प्रणाली लागू करने वाले सभी किसान,"Aims to enhance water use efficiency through the promotion of micro-irrigation systems like drip and sprinkler, ensuring 'Per Drop More Crop'.","ड्रिप और स्प्रिंकलर जैसी सूक्ष्म सिंचाई प्रणालियों को बढ़ावा देकर जल उपयोग दक्षता बढ़ाने का लक्ष्य, जिससे 'प्रति बूंद अधिक फसल' सुनिश्चित हो।",Aadhaar Card|Land records|Irrigation layout plan|Bank account details,https://pmksy.gov.in
32,Soil Health Card Scheme,मृदा स्वास्थ्य कार्ड योजना,Central,2015,Free soil health cards with nutrient recommendations,पोषक तत्वों की सिफारिशों के साथ मुफ्त मृदा स्वास्थ्य कार्ड,All farmers,सभी किसान,"Provides detailed soil health reports to farmers, enabling informed decisions on fertilizer usage and crop selection for better yields.","किसानों को विस्तृत मृदा स्वास्थ्य रिपोर्ट प्रदान करता है, जिससे उर्वरक उपयोग और फसल चयन पर सूचित निर्णय लेने में मदद मिलती है।",Aadhaar Card|Land ownership documents,https://soilhealth.dac.gov.in
33,Mukhyamantri Solar Pump Yojana,मुख्यमंत्री सोलर पंप योजना,State (Madhya Pradesh),2014,Subsidy on installation of solar-powered irrigation pumps,सौर ऊर्जा चालित सिंचाई पंपों की स्थापना पर सब्सिडी,Farmers with no electricity connection or unreliable power supply,बिजली कनेक्शन न होने या अनियमित बिजली आपूर्ति वाले किसान,"Encourages the use of renewable energy by providing subsidies for solar-powered irrigation pumps, ensuring reliable and eco-friendly irrigation.","सौर ऊर्जा चालित सिंचाई पंपों के लिए सब्सिडी प्रदान करके नवीकरणीय ऊर्जा के उपयोग को प्रोत्साहित करता है, जिससे विश्वसनीय और पर्यावरण अनुकूल सिंचाई सुनिश्चित हो।",Aadhaar Card|Land records|Bank account details,https://mpkrishi.mp.gov.in
34,Seed Village Program,बीज ग्राम कार्यक्रम,State (Madhya Pradesh),2005,Distribution of quality seeds at subsidized rates,गुणवत्तापूर्ण बीजों का सब्सिडी दरों पर वितरण,Farmers participating in seed production and distribution,बीज उत्पादन और वितरण में भाग लेने वाले किसान,"Aims to produce and distribute certified quality seeds within villages, enhancing seed replacement rates and crop productivity.",गांवों में प्रमाणित गुणवत्तापूर्ण बीजों का उत्पादन और वितरण करके बीज प्रतिस्थापन दर और फसल उत्पादकता बढ़ाने का लक्ष्य।,Aadhaar Card|Land records|Bank account details,https://mpkrishi.mp.gov.in
35,Organic Farming Promotion Scheme,जैविक खेती प्रोत्साहन योजना,State (Madhya Pradesh),2016,Financial assistance for adopting organic farming practices,जैविक खेती अपनाने के लिए वित्तीय सहायता,Farmers transitioning to organic farming,जैविक खेती में परिवर्तन करने वाले किसान,"Supports farmers in shifting to organic farming by providing financial aid, training, and certification assistance to promote sustainable agriculture.","किसानों को सतत कृषि को बढ़ावा देने के लिए वित्तीय सहायता, प्रशिक्षण और प्रमाणन सहायता प्रदान करके जैविक खेती में परिवर्तन करने में समर्थन करता है।",Aadhaar Card|Land records|Bank account details,https://mpkrishi.mp.gov.in
36,Pradhan Mantri Fasal Bima Yojana (PMFBY),प्रधानमंत्री फसल बीमा योजना,Central,2016,Crop insurance against natural calamities and pests,प्राकृतिक आपदाओं और कीटों के खिलाफ फसल बीमा,All farmers growing notified crops,सूचित फसलें उगाने वाले सभी किसान,"Provides comprehensive crop insurance to farmers against losses due to natural calamities, pests, and diseases, ensuring financial stability.","प्राकृतिक आपदाओं, कीटों और रोगों के कारण होने वाले नुकसान के खिलाफ किसानों को व्यापक फसल बीमा प्रदान करता है, जिससे वित्तीय स्थिरता सुनिश्चित हो।",Aadhaar Card|Land records|Crop sowing details|Bank account details,https://pmfby.gov.in
37,Madhya Pradesh State Millet Mission,मध्यप्रदेश राज्य मिलेट मिशन,State (Madhya Pradesh),2024,Subsidized seeds and fertilizers for millet cultivation,मिलेट की खेती के लिए सब्सिडी वाले बीज और उर्वरक,"Farmers cultivating millets like ragi, kodo-kutki, jowar, bajra, and maize","रागी, कोदो-कुटकी, ज्वार, बाजरा और मक्का जैसी मिलेट की खेती करने वाले किसान","Aims to promote the production of millet grains by providing quality seeds and fertilizers at affordable rates. The government plans to procure these grains directly from farmers and support tur (pigeon pea) cultivation with quality seeds, fertilizers, and productivity-enhancing incentives, including crop subsidies and insurance.","गुणवत्तापूर्ण बीज और उर्वरक सस्ती दरों पर प्रदान करके मिलेट अनाज के उत्पादन को बढ़ावा देने का लक्ष्य। सरकार इन अनाजों को सीधे किसानों से खरीदने और अरहर (तुअर) की खेती को गुणवत्ता वाले बीज, उर्वरक और उत्पादकता बढ़ाने वाले प्रोत्साहनों, जैसे फसल सब्सिडी और बीमा के साथ समर्थन करने की योजना बना रही है।",Aadhaar Card|Land records|Bank account details,https://mpkrishi.mp.gov.in
38,Mukhyamantri Krishak Fasal Uparjan Sahayata Yojana,मुख्यमंत्री कृषक फसल उपार्जन सहायता योजना,State (Madhya Pradesh),2024,₹125 per quintal bonus on wheat procurement over MSP,एमएसपी पर गेहूं खरीद पर ₹125 प्रति क्विंटल बोनस,Farmers selling wheat to government procurement centers,सरकारी खरीद केंद्रों को गेहूं बेचने वाले किसान,"Provides a bonus of ₹125 per quintal over the Minimum Support Price (MSP) to farmers selling wheat to government procurement centers, aiming to ensure fair returns for their produce.","सरकारी खरीद केंद्रों को गेहूं बेचने वाले किसानों को न्यूनतम समर्थन मूल्य (एमएसपी) पर ₹125 प्रति क्विंटल का बोनस प्रदान करता है, जिससे उनकी उपज के लिए उचित मूल्य सुनिश्चित हो सके।",Aadhaar Card|Land records|Bank account details|Procurement receipt,https://mpkrishi.mp.gov.in
